'2159', 'Our Selection', 'ourselectiondesktop'
'2160', 'Video Poker', 'poker'
'2161', 'Other Games', 'fun'
'2163', 'Jackpots', 'jackpots'
'2164', 'Slots Mobile', 'mobile-slots'
'2165', 'Table Mobile', 'mobile-table'
'2166', 'Table Games', 'table'
'2167', 'Slots', 'slots'
'2172', 'Live Casino', 'live'
'2173', 'Top Games', 'top'
'2174', 'New Games', 'new'
'2179', 'Top Games Mobile', 'mobilepopular'
'2180', 'Other Games Mobile', 'mobilefun'
'2183', 'New Games Mobile', 'mobilenew'
'2191', 'home', 'home_de'
'2192', 'Blackjack', 'blackjackdesktop'
'2193', 'Blackjack', 'blackjackmobile'
'2194', 'Roulette', 'roulettedesktop'
'2195', 'Roulette', 'roulettemobile'
'2196', 'Video Slots', 'videoslotsdesktop'
'2197', 'Video Slots', 'videoslotsmobile'
'2198', 'Live Casino', 'livemobile'
'2199', 'Live Casino', 'livedesktop'
'2200', 'Slots', 'slots'
'2201', 'Favourite', 'favourite'
'2202', 'Jackpot', 'Jackpots'
'2203', 'Top Games', 'mobilepopular'
'2204', 'Slot Games', 'mobile'
'2205', ' Table Games', 'mobiletable'
'2206', 'Live Casino', 'live'
'2207', 'Table', 'table'
'2208', 'Other', 'other'
'2209', 'Classic Slots', 'classicslots'
'2210', 'All', 'all'
